Statistic,Player,Team,Value,Rank,Year
Shutouts,Brooklyn,16,,,1928
Strikeouts,Brooklyn,551,,,1928
Base on Balls,Mel Ott,New York,113.0,,1929
Batting Average,Lefty O'Doul,Philadelphia,0.398,,1929
Doubles,Johnny Frederick,Brooklyn,52.0,,1929
Hits,Lefty O'Doul,Philadelphia,254.0,,1929
Home Runs,Chuck Klein,Philadelphia,43.0,,1929
On Base Percentage,Lefty O'Doul,Philadelphia,0.465,,1929
RBI,Hack Wilson,Chicago,159.0,,1929
Runs,Rogers Hornsby,Chicago,156.0,,1929
Slugging Average,Rogers Hornsby,Chicago,0.679,,1929
Stolen Bases,Kiki Cuyler,Chicago,43.0,,1929
Total Bases,Rogers Hornsby,Chicago,409.0,,1929
Triples,Lloyd Waner,Pittsburgh,20.0,,1929
Complete Games,Red Lucas,Cincinnati,28.0,,1929
ERA,Bill Walker,New York,3.09,,1929
Games,Guy Bush,Chicago,50.0,,1929
Saves,Guy Bush,Chicago,8.0,,1929
Saves,Johnny Morrison,Brooklyn,8.0,,1929
Shutouts,Pat Malone,Chicago,5.0,,1929
Strikeouts,Pat Malone,Chicago,166.0,,1929
Winning Percentage,Charlie Root,Chicago,0.76,,1929
Wins,Pat Malone,Chicago,22.0,,1929
1929 National League Team Standings,1929 National League Team Standings,1929 National League Team Standings,,,1929
Team [Click for roster],Wins,Losses,,,1929
Chicago Cubs,98,54,0.645,0.0,1929
Pittsburgh Pirates,88,65,0.575,,1929
New York Giants,84,67,0.556,,1929
St.Louis Cardinals,78,74,0.513,20.0,1929
Philadelphia Phillies,71,82,0.464,,1929
Brooklyn Robins,70,83,0.458,,1929
Cincinnati Reds,66,88,0.429,33.0,1929
Boston Braves,56,98,0.364,43.0,1929
Base on Balls,Chicago,589,,,1929
Batting Average,Philadelphia,.309,,,1929
Doubles,Chicago,310,,,1929
Doubles,St. Louis,310,,,1929
Hits,Philadelphia,1693,,,1929
Home Runs,Philadelphia,153,,,1929
On Base Percentage,Philadelphia,.377,,,1929
Runs,Chicago,982,,,1929
Slugging Average,Philadelphia,.467,,,1929
Stolen Bases,Cincinnati,134,,,1929
Triples,Pittsburgh,116,,,1929
Complete Games,St. Louis,83,,,1929
ERA,New York,3.97,,,1929
Fewest Hits Allowed,Pittsburgh,1530,,,1929
Fewest Home Runs Allowed,Cincinnati,61,,,1929
Fewest Walks Allowed,New York,387,,,1929
Saves,Philadelphia,24,,,1929
Shutouts,Chicago,14,,,1929
Strikeouts,Brooklyn,549,,,1929
Base on Balls,Hack Wilson,Chicago,105.0,,1930
Batting Average,Bill Terry,New York,0.401,,1930
Doubles,Chuck Klein,Philadelphia,59.0,,1930
Hits,Bill Terry,New York,254.0,,1930
Home Runs,Hack Wilson,Chicago,56.0,,1930
On Base Percentage,Mel Ott,New York,0.458,,1930
RBI,Hack Wilson,Chicago,191.0,,1930
Runs,Chuck Klein,Philadelphia,158.0,,1930
Slugging Average,Hack Wilson,Chicago,0.723,,1930
Stolen Bases,Kiki Cuyler,Chicago,37.0,,1930
Total Bases,Chuck Klein,Philadelphia,445.0,,1930
Triples,Adam Comorosky,Pittsburgh,23.0,,1930
1930N.L. History | 1930 A.L. History | Year-by-Year History,1930N.L. History | 1930 A.L. History | Year-by-Year History,1930N.L. History | 1930 A.L. History | Year-by-Year History,,,1930
Complete Games,Erv Brame,Pittsburgh,22.0,,1930
Complete Games,Pat Malone,Chicago,22.0,,1930
ERA,Dazzy Vance,Brooklyn,2.61,,1930
Games,Hal Elliott,Philadelphia,48.0,,1930
Saves,Hi Bell,St. Louis,8.0,,1930
Shutouts,Charlie Root,Chicago,4.0,,1930
Shutouts,Dazzy Vance,Brooklyn,4.0,,1930
Strikeouts,Bill Hallahan,St. Louis,177.0,,1930
Winning Percentage,Freddie Fitzsimmons,New York,0.731,,1930
Wins,Ray Kremer,Pittsburgh,20.0,,1930
Wins,Pat Malone,Chicago,20.0,,1930
1930N.L. History | 1930 A.L. History | Year-by-Year History,1930N.L. History | 1930 A.L. History | Year-by-Year History,1930N.L. History | 1930 A.L. History | Year-by-Year History,,,1930
Team | Roster,W,L,,,1930
St. Louis Cardinals,92,62,0.597,0.0,1930
Chicago Cubs,90,64,0.584,2.0,1930
New York Giants,87,67,0.565,5.0,1930
Brooklyn Robins,86,68,0.558,6.0,1930
Pittsburgh Pirates,80,74,0.519,12.0,1930
Boston Braves,70,84,0.455,22.0,1930
Cincinnati Reds,59,95,0.383,33.0,1930
Philadelphia Phillies,52,102,0.338,40.0,1930
Team | Roster,W,L,,,1930
National League Team Standings,National League Team Standings,National League Team Standings,,,1930
Base on Balls,Chicago,588,,,1930
Batting Average,New York,.319,,,1930
Doubles,St. Louis,373,,,1930
Hits,Philadelphia,1783,,,1930
Home Runs,Chicago,171,,,1930
On Base Percentage,Chicago,.378,,,1930
Runs,St. Louis,1004,,,1930
Slugging Average,Chicago,.481,,,1930
Stolen Bases,Pittsburgh,76,,,1930
Triples,Pittsburgh,119,,,1930
Complete Games,New York,90,,,1930
ERA,New York,3.31,,,1930
Fewest Hits Allowed,New York,1341,,,1930
Fewest Home Runs Allowed,Cincinnati,51,,,1930
Fewest Walks Allowed,Brooklyn,351,,,1930
Saves,St. Louis,20,,,1930
Shutouts,New York,17,,,1930
Shutouts,St. Louis,17,,,1930
Strikeouts,St. Louis,626,,,1930
Base on Balls,Mel Ott,New York,80.0,,1931
Batting Average,Chick Hafey,St. Louis,0.349,,1931
Doubles,Sparky Adams,St. Louis,46.0,,1931
Hits,Lloyd Waner,Pittsburgh,214.0,,1931
Home Runs,Chuck Klein,Philadelphia,31.0,,1931
On Base Percentage,Chick Hafey,St. Louis,0.404,,1931
RBI,Chuck Klein,Philadelphia,121.0,,1931
Runs,Chuck Klein,Philadelphia,121.0,,1931
Runs,Bill Terry,New York,121.0,,1931
Slugging Average,Chuck Klein,Philadelphia,0.584,,1931
Stolen Bases,Frankie Frisch,St. Louis,28.0,,1931
Total Bases,Chuck Klein,Philadelphia,347.0,,1931
Triples,Bill Terry,New York,20.0,,1931
Complete Games,Red Lucas,Cincinnati,24.0,,1931
ERA,Bill Walker,New York,2.26,,1931
Games,Jumbo Elliott,Philadelphia,52.0,,1931
Saves,Jack Quinn,Brooklyn,15.0,,1931
Shutouts,Bill Walker,New York,6.0,,1931
Strikeouts,Bill Hallahan,St. Louis,159.0,,1931
Winning Percentage,Paul Derringer,St. Louis,0.692,,1931
Wins,Jumbo Elliott,Philadelphia,19.0,,1931
Wins,Bill Hallahan,St. Louis,19.0,,1931
Wins,Heinie Meine,Pittsburgh,19.0,,1931
1931 National League Team Standings,1931 National League Team Standings,1931 National League Team Standings,,,1931
Team [Click for roster],Wins,Losses,,,1931
St.Louis Cardinals,101,53,0.656,0.0,1931
New York Giants,87,65,0.572,13.0,1931
Chicago Cubs,84,70,0.545,17.0,1931
Brooklyn Robins,79,73,0.52,21.0,1931
Pittsburgh Pirates,75,79,0.487,26.0,1931
Philadelphia Phillies,66,88,0.429,35.0,1931
Boston Braves,64,90,0.416,37.0,1931
Cincinnati Reds,58,96,0.377,43.0,1931
Base on Balls,Chicago,577,,,1931
Batting Average,Chicago,.289,,,1931
Doubles,St. Louis,353,,,1931
Hits,Chicago,1578,,,1931
Home Runs,New York,101,,,1931
On Base Percentage,Chicago,.360,,,1931
Runs,Chicago,828,,,1931
Slugging Average,Chicago,.422,,,1931
Stolen Bases,St. Louis,114,,,1931
Triples,Brooklyn,77,,,1931
Complete Games,Pittsburgh,80,,,1931
ERA,Brooklyn,4.03,,,1931
Fewest Hits Allowed,Brooklyn,1480,,,1931
Fewest Home Runs Allowed,Cincinnati,75,,,1931
Fewest Walks Allowed,Brooklyn,394,,,1931
Fewest Walks Allowed,Cincinnati,394,,,1931
Saves,St. Louis,21,,,1931
Shutouts,Brooklyn,13,,,1931
Strikeouts,St. Louis,639,,,1931
Base on Balls,Mel Ott,New York,100.0,,1932
Batting Average,Lefty O'Doul,Brooklyn,0.368,,1932
Doubles,Paul Waner,Pittsburgh,62.0,,1932
Hits,Chuck Klein,Philadelphia,226.0,,1932
Home Runs,Chuck Klein,Philadelphia,38.0,,1932
Home Runs,Mel Ott,New York,38.0,,1932
On Base Percentage,Mel Ott,New York,0.424,,1932
RBI,Don Hurst,Philadelphia,143.0,,1932
Runs,Chuck Klein,Philadelphia,152.0,,1932
Slugging Average,Chuck Klein,Philadelphia,0.646,,1932
Stolen Bases,Chuck Klein,Philadelphia,20.0,,1932
Total Bases,Chuck Klein,Philadelphia,420.0,,1932
Triples,Babe Herman,Cincinnati,19.0,,1932
1932 N.L. History | 1932 A.L. History | Year-by-Year History,1932 N.L. History | 1932 A.L. History | Year-by-Year History,1932 N.L. History | 1932 A.L. History | Year-by-Year History,,,1932
Complete Games,Red Lucas,Cincinnati,28.0,,1932
ERA,Lon Warneke,Chicago,2.37,,1932
Games,Larry French,Pittsburgh,47.0,,1932
Saves,Jack Quinn,Brooklyn,8.0,,1932
Shutouts,Dizzy Dean,St. Louis,4.0,,1932
Shutouts,Steve Swetonic,Pittsburgh,4.0,,1932
Shutouts,Lon Warneke,Chicago,4.0,,1932
Strikeouts,Dizzy Dean,St. Louis,191.0,,1932
Winning Percentage,Lon Warneke,Chicago,0.786,,1932
Wins,Lon Warneke,Chicago,22.0,,1932
1932 N.L. History | 1932 A.L. History | Year-by-Year History,1932 N.L. History | 1932 A.L. History | Year-by-Year History,1932 N.L. History | 1932 A.L. History | Year-by-Year History,,,1932
Team | Roster,Wins,Losses,,,1932
Chicago Cubs,90,64,0.584,0.0,1932
Pittsburgh Pirates,86,68,0.558,4.0,1932
Brooklyn Dodgers,81,73,0.526,9.0,1932
Philadelphia Phillies,78,76,0.506,12.0,1932
Boston Braves,77,77,0.5,13.0,1932
St.Louis Cardinals,72,82,0.468,18.0,1932
New York Giants,72,82,0.468,18.0,1932
Cincinnati Reds,60,94,0.39,30.0,1932
Team | Roster,Wins,Losses,,,1932
1932 National League Standings,1932 National League Standings,1932 National League Standings,,,1932
Base on Balls,Philadelphia,446,,,1932
Batting Average,Philadelphia,.292,,,1932
Doubles,Philadelphia,330,,,1932
Hits,Philadelphia,1608,,,1932
Home Runs,Philadelphia,122,,,1932
On Base Percentage,Philadelphia,.348,,,1932
Runs,Philadelphia,844,,,1932
Slugging Average,Philadelphia,.442,,,1932
Stolen Bases,St. Louis,92,,,1932
Triples,Pittsburgh,90,,,1932
1932 National League Team Review,1932 National League Team Review,1932 National League Team Review,,,1932
Complete Games,Cincinnati,83,,,1932
ERA,Chicago,3.45,,,1932
Fewest Hits Allowed,Chicago,1444,,,1932
Fewest Home Runs Allowed,Boston,61,,,1932
Fewest Walks Allowed,Cincinnati,276,,,1932
Saves,Philadelphia,17,,,1932
Shutouts,St. Louis,13,,,1932
Strikeouts,St. Louis,681,,,1932
1932 National League Team Review,1932 National League Team Review,1932 National League Team Review,,,1932
Base on Balls,Mel Ott,New York,75.0,,1933
Batting Average,Chuck Klein,Philadelphia,0.368,,1933
Doubles,Chuck Klein,Philadelphia,44.0,,1933
Hits,Chuck Klein,Philadelphia,223.0,,1933
Home Runs,Chuck Klein,Philadelphia,28.0,,1933
On Base Percentage,Chuck Klein,Philadelphia,0.422,,1933
RBI,Chuck Klein,Philadelphia,120.0,,1933
Runs,Pepper Martin,St. Louis,122.0,,1933
Slugging Average,Chuck Klein,Philadelphia,0.602,,1933
Stolen Bases,Pepper Martin,St. Louis,26.0,,1933
Total Bases,Chuck Klein,Philadelphia,365.0,,1933
Triples,Arky Vaughan,Pittsburgh,19.0,,1933
Complete Games,Lon Warneke,Chicago,26.0,,1933
Complete Games,Dizzy Dean,St. Louis,26.0,,1933
ERA,Carl Hubbell,New York,1.66,,1933
Games,Dizzy Dean,St. Louis,48.0,,1933
Saves,Phil Collins,Philadelphia,6.0,,1933
Shutouts,Carl Hubbell,New York,10.0,,1933
Strikeouts,Dizzy Dean,St. Louis,199.0,,1933
Winning Percentage,Ben Cantwell,Boston,0.667,,1933
Wins,Carl Hubbell,New York,23.0,,1933
1933 National League Team Standings,1933 National League Team Standings,1933 National League Team Standings,,,1933
Team [Click for roster],Wins,Losses,,,1933
New York Giants,91,61,0.599,0.0,1933
Pittsburgh Pirates,87,67,0.565,5.0,1933
Chicago Cubs,86,68,0.558,6.0,1933
Boston Braves,83,71,0.539,9.0,1933
St.Louis Cardinals,82,71,0.536,,1933
Brooklyn Dodgers,65,88,0.425,,1933
Philadelphia Phillies,60,92,0.395,31.0,1933
Cincinnati Reds,58,94,0.382,33.0,1933
Base on Balls,Brooklyn,397,,,1933
Batting Average,Pittsburgh,.285,,,1933
Doubles,Chicago,256,,,1933
Doubles,St. Louis,256,,,1933
Hits,Pittsburgh,1548,,,1933
Home Runs,New York,82,,,1933
On Base Percentage,Pittsburgh,.333,,,1933
Runs,St. Louis,687,,,1933
Slugging Average,Pittsburgh,.383,,,1933
Stolen Bases,St. Louis,99,,,1933
Triples,Pittsburgh,84,,,1933
Complete Games,Chicago,95,,,1933
ERA,New York,2.71,,,1933
Fewest Hits Allowed,New York,1280,,,1933
Fewest Home Runs Allowed,Cincinnati,47,,,1933
Fewest Walks Allowed,Cincinnati,257,,,1933
Saves,Boston,16,,,1933
Saves,St. Louis,16,,,1933
Shutouts,New York,23,,,1933
Strikeouts,St. Louis,635,,,1933
Base on Balls,Arky Vaughan,Pittsburgh,94.0,,1934
Batting Average,Paul Waner,Pittsburgh,0.362,,1934
Doubles,Kiki Cuyler,Chicago,42.0,,1934
Doubles,Ethan Allen,Philadelphia,42.0,,1934
Hits,Paul Waner,Pittsburgh,217.0,,1934
Home Runs,Mel Ott,New York,35.0,,1934
Home Runs,Ripper Collins,St. Louis,35.0,,1934
On Base Percentage,Arky Vaughan,Pittsburgh,0.431,,1934
RBI,Mel Ott,New York,135.0,,1934
Runs,Paul Waner,Pittsburgh,122.0,,1934
Slugging Average,Ripper Collins,St. Louis,0.615,,1934
Stolen Bases,Pepper Martin,St. Louis,23.0,,1934
Total Bases,Ripper Collins,St. Louis,369.0,,1934
Triples,Joe Medwick,St. Louis,18.0,,1934
Complete Games,Carl Hubbell,New York,25.0,,1934
ERA,Carl Hubbell,New York,2.3,,1934
Games,Curt Davis,Philadelphia,51.0,,1934
Saves,Carl Hubbell,New York,7.0,,1934
Shutouts,Dizzy Dean,St. Louis,7.0,,1934
Strikeouts,Dizzy Dean,St. Louis,195.0,,1934
Winning Percentage,Dizzy Dean,St. Louis,0.811,,1934
Wins,Dizzy Dean,St. Louis,30.0,,1934
1934 National League Team Standings,1934 National League Team Standings,1934 National League Team Standings,,,1934
Team [Click for roster],Wins,Losses,,,1934
St. Louis Cardinals,95,58,0.621,0.0,1934
New York Giants,93,60,0.608,2.0,1934
Chicago Cubs,86,65,0.57,8.0,1934
Boston Braves,78,73,0.517,16.0,1934
Pittsburgh Pirates,74,76,0.493,,1934
Brooklyn Dodgers,71,81,0.467,,1934
Philadelphia Phillies,56,93,0.376,37.0,1934
Cincinnati Reds,52,99,0.344,42.0,1934
Base on Balls,Brooklyn,548,,,1934
Batting Average,St. Louis,.288,,,1934
Doubles,St. Louis,294,,,1934
Hits,St. Louis,1582,,,1934
Home Runs,New York,126,,,1934
On Base Percentage,Brooklyn,.350,,,1934
Runs,St. Louis,799,,,1934
Slugging Average,St. Louis,.425,,,1934
Stolen Bases,St. Louis,69,,,1934
Triples,Brooklyn,548,,,1934
Complete Games,St. Louis,78,,,1934
ERA,New York,3.19,,,1934
Fewest Hits Allowed,New York,1384,,,1934
Fewest Home Runs Allowed,Cincinnati,61,,,1934
Fewest Walks Allowed,New York,351,,,1934
Saves,New York,30,,,1934
Shutouts,St. Louis,15,,,1934
Strikeouts,St. Louis,689,,,1934
Base on Balls,Arky Vaughan,Pittsburgh,97.0,,1935
Batting Average,Arky Vaughan,Pittsburgh,0.385,,1935
Doubles,Billy Herman,Chicago,57.0,,1935
Hits,Billy Herman,Chicago,227.0,,1935
Home Runs,Wally Berger,Boston,34.0,,1935
On Base Percentage,Arky Vaughan,Pittsburgh,0.491,,1935
RBI,Wally Berger,Boston,130.0,,1935
Runs,Augie Galan,Chicago,133.0,,1935
Slugging Average,Arky Vaughan,Pittsburgh,0.607,,1935
Stolen Bases,Augie Galan,Chicago,22.0,,1935
Total Bases,Joe Medwick,St. Louis,365.0,,1935
Triples,Ival Goodman,Cincinnati,18.0,,1935
1935 N.L. History | 1935 A.L. History | Year-by-Year History,1935 N.L. History | 1935 A.L. History | Year-by-Year History,1935 N.L. History | 1935 A.L. History | Year-by-Year History,,,1935
Complete Games,Dizzy Dean,St. Louis,29.0,,1935
ERA,Cy Blanton,Pittsburgh,2.58,,1935
Games,Orville Jorgens,Philadelphia,53.0,,1935
Saves,Dutch Leonard,Pittsburgh,8.0,,1935
Shutouts,Cy Blanton,Pittsburgh,4.0,,1935
Shutouts,Freddie Fitzsimmons,New York,4.0,,1935
Shutouts,Larry French,Chicago,4.0,,1935
Shutouts,Van Mungo,Brooklyn,4.0,,1935
Shutouts,Jim Weaver,Pittsburgh,4.0,,1935
Strikeouts,Dizzy Dean,St. Louis,190.0,,1935
Winning Percentage,Bill Lee,Chicago,0.769,,1935
Wins,Dizzy Dean,St. Louis,28.0,,1935
1935 N.L. History | 1935 A.L. History | Year-by-Year History,1935 N.L. History | 1935 A.L. History | Year-by-Year History,1935 N.L. History | 1935 A.L. History | Year-by-Year History,,,1935
Team | Roster,W,L,,,1935
Chicago Cubs,100,54,0.649,0.0,1935
St. Louis Cardinals,96,58,0.623,4.0,1935
New York Giants,91,62,0.595,,1935
Pittsburgh Pirates,86,67,0.562,,1935
Brooklyn Dodgers,70,83,0.458,,1935
Cincinnati Reds,68,85,0.444,,1935
Philadelphia Phillies,64,89,0.418,,1935
Boston Braves,38,115,0.248,,1935
Team | Roster,W,L,,,1935
1935 National League Team Standings,1935 National League Team Standings,1935 National League Team Standings,,,1935
Base on Balls,Chicago,464,,,1935
Batting Average,Chicago,.288,,,1935
Doubles,Chicago,303,,,1935
Hits,New York,1608,,,1935
Home Runs,New York,123,,,1935
On Base Percentage,Chicago,.347,,,1935
Runs,Chicago,847,,,1935
Slugging Average,New York,.416,,,1935
Stolen Bases,Cincinnati,72,,,1935
Triples,Pittsburgh,90,,,1935
Complete Games,Chicago,81,,,1935
ERA,Chicago,3.26,,,1935
Fewest Hits Allowed,Chicago,1417,,,1935
Fewest Home Runs Allowed,Pittsburgh,63,,,1935
Fewest Walks Allowed,Pittsburgh,312,,,1935
Saves,Brooklyn,20,,,1935
Shutouts,Pittsburgh,15,,,1935
Strikeouts,St. Louis,602,,,1935
Base on Balls,Arky Vaughan,Pittsburgh,118.0,,1936
Batting Average,Paul Waner,Pittsburgh,0.373,,1936
Doubles,Joe Medwick,St. Louis,64.0,,1936
Hits,Joe Medwick,St. Louis,223.0,,1936
Home Runs,Mel Ott,New York,33.0,,1936
On Base Percentage,Arky Vaughan,Pittsburgh,0.453,,1936
RBI,Joe Medwick,St. Louis,138.0,,1936
Runs,Arky Vaughan,Pittsburgh,122.0,,1936
Slugging Average,Mel Ott,New York,0.488,,1936
Stolen Bases,Pepper Martin,St. Louis,23.0,,1936
Total Bases,Joe Medwick,St. Louis,367.0,,1936
Triples,Ival Goodman,Cincinnati,14.0,,1936
1936 N.L. History | 1936 A.L. History | Year-by-Year History,1936 N.L. History | 1936 A.L. History | Year-by-Year History,1936 N.L. History | 1936 A.L. History | Year-by-Year History,,,1936
Complete Games,Dizzy Dean,St. Louis,28.0,,1936
ERA,Carl Hubbell,New York,2.31,,1936
Games,Dizzy Dean,St. Louis,51.0,,1936
Games,Paul Derringer,Cincinnati,51.0,,1936
Saves,Dizzy Dean,St. Louis,11.0,,1936
Shutouts,Cy Blanton,Pittsburgh,4.0,,1936
Shutouts,Tex Carleton,Chicago,4.0,,1936
Shutouts,Larry French,Chicago,4.0,,1936
Shutouts,Bill Lee,Chicago,4.0,,1936
Shutouts,Al Smith,New York,4.0,,1936
Shutouts,Bucky Walters,Philadelphia,4.0,,1936
Shutouts,Lon Warneke,Chicago,4.0,,1936
Strikeouts,Van Mungo,Brooklyn,238.0,,1936
Winning Percentage,Carl Hubbell,New York,0.813,,1936
Wins,Carl Hubbell,New York,26.0,,1936
1936 N.L. History | 1936 A.L. History | Year-by-Year History,1936 N.L. History | 1936 A.L. History | Year-by-Year History,1936 N.L. History | 1936 A.L. History | Year-by-Year History,,,1936
Team | Roster,Wins,Losses,,,1936
New York Giants,92,62,0.597,0.0,1936
St. Louis Cardinals,87,67,0.565,5.0,1936
Chicago Cubs,87,67,0.565,5.0,1936
Pittsburgh Pirates,84,70,0.545,8.0,1936
Cincinnati Reds,74,80,0.481,18.0,1936
Boston Bees,71,83,0.461,21.0,1936
Brooklyn Dodgers,67,87,0.435,25.0,1936
Philadelphia Phillies,54,100,0.351,38.0,1936
Team | Roster,Wins,Losses,,,1936
1936 National League Standings,1936 National League Standings,1936 National League Standings,,,1936
Base on Balls,Pittsburgh,517,,,1936
Batting Average,Pittsburgh,.286,,,1936
Doubles,St. Louis,332,,,1936
Hits,Pittsburgh,1596,,,1936
Home Runs,Philadelphia,103,,,1936
On Base Percentage,Pittsburgh,.349,,,1936
Runs,Pittsburgh,804,,,1936
Slugging Average,St. Louis,.410,,,1936
Stolen Bases,St. Louis,69,,,1936
Triples,Pittsburgh,80,,,1936
1936 National League Team Review,1936 National League Team Review,1936 National League Team Review,,,1936
Complete Games,Chicago,77,,,1936
ERA,New York,3.46,,,1936
Fewest Hits Allowed,Chicago,1413,,,1936
Fewest Home Runs Allowed,Cincinnati,51,,,1936
Fewest Walks Allowed,Pittsburgh,379,,,1936
Saves,St. Louis,24,,,1936
Shutouts,Chicago,18,,,1936
Strikeouts,Brooklyn,651,,,1936
1936 National League Team Review,1936 National League Team Review,1936 National League Team Review,,,1936
Base on Balls,Mel Ott,New York,102.0,,1937
Batting Average,Joe Medwick,St. Louis,0.374,,1937
Doubles,Joe Medwick,St. Louis,56.0,,1937
Hits,Joe Medwick,St. Louis,237.0,,1937
Home Runs,Joe Medwick,St. Louis,31.0,,1937
On Base Percentage,Mel Ott,New York,0.442,,1937
On Base Percentage,Joe Medwick,St. Louis,0.442,,1937
RBI,Joe Medwick,St. Louis,154.0,,1937
Runs,Joe Medwick,St. Louis,111.0,,1937
Slugging Average,Joe Medwick,St. Louis,0.641,,1937
Stolen Bases,Augie Galan,Chicago,23.0,,1937
Total Bases,Joe Medwick,St. Louis,406.0,,1937
Triples,Arky Vaughan,Pittsburgh,17.0,,1937
Complete Games,Jim Turner,Boston,24.0,,1937
ERA,Jim Turner,Boston,2.38,,1937
Games,Hugh Mulcahy,Philadelphia,56.0,,1937
Saves,Mace Brown,Pittsburgh,7.0,,1937
Saves,Cliff Melton,New York,7.0,,1937
Shutouts,Lou Fette,Boston,5.0,,1937
Shutouts,Lee Grissom,Cincinnati,5.0,,1937
Shutouts,Jim Turner,Boston,5.0,,1937
Strikeouts,Carl Hubbell,New York,159.0,,1937
Winning Percentage,Carl Hubbell,New York,0.733,,1937
Wins,Carl Hubbell,New York,22.0,,1937
1937 National League Team Standings,1937 National League Team Standings,1937 National League Team Standings,,,1937
Team [Click for roster],Wins,Losses,,,1937
New York Giants,95,57,0.625,0.0,1937
Chicago Cubs,93,61,0.604,3.0,1937
Pittsburgh Pirates,86,68,0.558,10.0,1937
St. Louis Cardinals,81,73,0.526,15.0,1937
Boston Bees,79,73,0.52,16.0,1937
Brooklyn Dodgers,62,91,0.405,,1937
Philadelphia Phillies,61,92,0.399,,1937
Cincinnati Reds,56,98,0.364,40.0,1937
Base on Balls,Chicago,538,,,1937
Batting Average,Chicago,.287,,,1937
Doubles,St. Louis,264,,,1937
Hits,Pittsburgh,1550,,,1937
Home Runs,New York,111,,,1937
On Base Percentage,Chicago,.355,,,1937
Runs,Chicago,811,,,1937
Slugging Average,Chicago,.416,,,1937
Stolen Bases,St. Louis,78,,,1937
Triples,Pittsburgh,86,,,1937
Complete Games,Boston,85,,,1937
ERA,Boston,3.22,,,1937
Fewest Hits Allowed,New York,1341,,,1937
Fewest Home Runs Allowed,Cincinnati,38,,,1937
Fewest Walks Allowed,Boston,372,,,1937
Saves,Cincinnati,18,,,1937
Shutouts,Boston,16,,,1937
Strikeouts,New York,653,,,1937
Base on Balls,Dolph Camilli,Brooklyn,119.0,,1938
Batting Average,Ernie Lombardi,Cincinnati,0.342,,1938
Doubles,Joe Medwick,St. Louis,47.0,,1938
Hits,Frank McCormick,Cincinnati,209.0,,1938
Home Runs,Mel Ott,New York,36.0,,1938
On Base Percentage,Mel Ott,New York,0.442,,1938
RBI,Joe Medwick,St. Louis,122.0,,1938
Runs,Mel Ott,New York,116.0,,1938
Slugging Average,Johnny Mize,St. Louis,0.614,,1938
Stolen Bases,Stan Hack,Chicago,16.0,,1938
Total Bases,Johnny Mize,St. Louis,326.0,,1938
Triples,Johnny Mize,St. Louis,16.0,,1938
Complete Games,Paul Derringer,Cincinnati,26.0,,1938
ERA,Bill Lee,Chicago,2.66,,1938
Games,Mace Brown,Pittsburgh,51.0,,1938
Games,Dick Coffman,New York,51.0,,1938
Saves,Dick Coffman,New York,12.0,,1938
Shutouts,Bill Lee,Chicago,9.0,,1938
Strikeouts,Clay Bryant,Chicago,135.0,,1938
Winning Percentage,Bill Lee,Chicago,0.71,,1938
Wins,Bill Lee,Chicago,22.0,,1938
1938 National League Team Standings,1938 National League Team Standings,1938 National League Team Standings,,,1938
Team [Click for roster],Wins,Losses,,,1938
Chicago Cubs,89,63,0.586,0.0,1938
